Nationality,Name,Photo,Club,Wage,Overall
Brazil,Alex Sandro,https://cdn.sofifa.org/players/4/19/191043.png,Juventus,€160K,86
Brazil,Douglas Costa,https://cdn.sofifa.org/players/4/19/190483.png,Juventus,€175K,86
Germany,T. Müller,https://cdn.sofifa.org/players/4/19/189596.png,FC Bayern München,€135K,86
Spain,Thiago,https://cdn.sofifa.org/players/4/19/189509.png,FC Bayern München,€130K,86
Germany,M. Reus,https://cdn.sofifa.org/players/4/19/188350.png,Borussia Dortmund,€100K,86
Spain,Azpilicueta,https://cdn.sofifa.org/players/4/19/184432.png,Chelsea,€175K,86
Italy,L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,Juventus,€160K,86
Belgium,T. Alderweireld,https://cdn.sofifa.org/players/4/19/184087.png,Tottenham Hotspur,€150K,86
Bosnia Herzegovina,M. Pjanić,https://cdn.sofifa.org/players/4/19/180206.png,Juventus,€180K,86
Morocco,M. Benatia,https://cdn.sofifa.org/players/4/19/177509.png,Juventus,€160K,86
Germany,M. Özil,https://cdn.sofifa.org/players/4/19/176635.png,Arsenal,€190K,86
Brazil,Fernandinho,https://cdn.sofifa.org/players/4/19/135507.png,Manchester City,€185K,86
Spain,Iniesta,https://cdn.sofifa.org/players/4/19/41.png,Vissel Kobe,€21K,86
Slovakia,M. Škriniar,https://cdn.sofifa.org/players/4/19/232363.png,Inter,€82K,85
Serbia,S. Milinković-Savić,https://cdn.sofifa.org/players/4/19/223848.png,Lazio,€73K,85
Spain,Marco Asensio,https://cdn.sofifa.org/players/4/19/220834.png,Real Madrid,€215K,85
France,N. Fekir,https://cdn.sofifa.org/players/4/19/216594.png,Olympique Lyonnais,€92K,85
Brazil,Alisson,https://cdn.sofifa.org/players/4/19/212831.png,Liverpool,€115K,85
Germany,J. Kimmich,https://cdn.sofifa.org/players/4/19/212622.png,FC Bayern München,€92K,85
Spain,Saúl,https://cdn.sofifa.org/players/4/19/208421.png,Atlético Madrid,€77K,85
Algeria,R. Mahrez,https://cdn.sofifa.org/players/4/19/204485.png,Manchester City,€205K,85
Austria,D. Alaba,https://cdn.sofifa.org/players/4/19/197445.png,FC Bayern München,€110K,85
Spain,Koke,https://cdn.sofifa.org/players/4/19/193747.png,Atlético Madrid,€88K,85
France,A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,Arsenal,€180K,85
Greece,K. Manolas,https://cdn.sofifa.org/players/4/19/192774.png,Roma,€96K,85
Argentina,N. Otamendi,https://cdn.sofifa.org/players/4/19/192366.png,Manchester City,€170K,85
Spain,Parejo,https://cdn.sofifa.org/players/4/19/189513.png,Valencia CF,€66K,85
Brazil,Paulinho,https://cdn.sofifa.org/players/4/19/187961.png,Guangzhou Evergrande Taobao FC,€235K,85
Poland,W. Szczęsny,https://cdn.sofifa.org/players/4/19/186153.png,Juventus,€125K,85
Chile,A. Sánchez,https://cdn.sofifa.org/players/4/19/184941.png,Manchester United,€215K,85
Algeria,Y. Brahimi,https://cdn.sofifa.org/players/4/19/184267.png,FC Porto,€28K,85
Germany,J. Boateng,https://cdn.sofifa.org/players/4/19/183907.png,FC Bayern München,€115K,85
Chile,A. Vidal,https://cdn.sofifa.org/players/4/19/181872.png,FC Barcelona,€205K,85
Croatia,I. Perišić,https://cdn.sofifa.org/players/4/19/181458.png,Inter,€110K,85
Bosnia Herzegovina,E. Džeko,https://cdn.sofifa.org/players/4/19/180930.png,Roma,€115K,85
Germany,S. Khedira,https://cdn.sofifa.org/players/4/19/179846.png,Juventus,€160K,85
Spain,Diego Costa,https://cdn.sofifa.org/players/4/19/179844.png,Atlético Madrid,€100K,85
Belgium,R. Nainggolan,https://cdn.sofifa.org/players/4/19/178518.png,Inter,€105K,85
Brazil,Naldo,https://cdn.sofifa.org/players/4/19/171919.png,FC Schalke 04,€38K,85
France,B. Matuidi,https://cdn.sofifa.org/players/4/19/170890.png,Juventus,€145K,85
Brazil,Miranda,https://cdn.sofifa.org/players/4/19/168609.png,Inter,€96K,85
France,K. Benzema,https://cdn.sofifa.org/players/4/19/165153.png,Real Madrid,€240K,85
Brazil,Filipe Luís,https://cdn.sofifa.org/players/4/19/164169.png,Atlético Madrid,€81K,85
Belgium,V. Kompany,https://cdn.sofifa.org/players/4/19/139720.png,Manchester City,€170K,85
Portugal,Pepe,https://cdn.sofifa.org/players/4/19/120533.png,Beşiktaş JK,€57K,85
Sweden,Z. Ibrahimović,https://cdn.sofifa.org/players/4/19/41236.png,LA Galaxy,€15K,85
Colombia,D. Sánchez,https://cdn.sofifa.org/players/4/19/220793.png,Tottenham Hotspur,€105K,84
Uruguay,J. Giménez,https://cdn.sofifa.org/players/4/19/216460.png,Atlético Madrid,€63K,84
Brazil,Alex Telles,https://cdn.sofifa.org/players/4/19/212462.png,FC Porto,€22K,84
France,A. Laporte,https://cdn.sofifa.org/players/4/19/212218.png,Manchester City,€135K,84
Portugal,Bruno Fernandes,https://cdn.sofifa.org/players/4/19/212198.png,Sporting CP,€22K,84
Germany,N. Süle,https://cdn.sofifa.org/players/4/19/212190.png,FC Bayern München,€84K,84
France,A. Martial,https://cdn.sofifa.org/players/4/19/211300.png,Manchester United,€165K,84
England,D. Alli,https://cdn.sofifa.org/players/4/19/211117.png,Tottenham Hotspur,€115K,84
Brazil,Fabinho,https://cdn.sofifa.org/players/4/19/209499.png,Liverpool,€120K,84
Brazil,Marquinhos,https://cdn.sofifa.org/players/4/19/207865.png,Paris Saint-Germain,€90K,84
Portugal,William Carvalho,https://cdn.sofifa.org/players/4/19/207566.png,Real Betis,€38K,84
Italy,Jorginho,https://cdn.sofifa.org/players/4/19/205498.png,Chelsea,€155K,84
France,F. Thauvin,https://cdn.sofifa.org/players/4/19/204970.png,Olympique de Marseille,€72K,84
Spain,Carvajal,https://cdn.sofifa.org/players/4/19/204963.png,Real Madrid,€185K,84
Netherlands,M. Depay,https://cdn.sofifa.org/players/4/19/202556.png,Olympique Lyonnais,€93K,84
Korea Republic,H. Son,https://cdn.sofifa.org/players/4/19/200104.png,Tottenham Hotspur,€125K,84
Portugal,A. Lopes,https://cdn.sofifa.org/players/4/19/199482.png,Olympique Lyonnais,€72K,84
Netherlands,S. de Vrij,https://cdn.sofifa.org/players/4/19/198176.png,Inter,€88K,84
Italy,M. Perin,https://cdn.sofifa.org/players/4/19/198009.png,Juventus,€105K,84
Colombia,J. Cuadrado,https://cdn.sofifa.org/players/4/19/193082.png,Juventus,€150K,84
Spain,Iago Aspas,https://cdn.sofifa.org/players/4/19/192629.png,RC Celta,€45K,84
Germany,B. Leno,https://cdn.sofifa.org/players/4/19/192563.png,Arsenal,€115K,84
Serbia,N. Matić,https://cdn.sofifa.org/players/4/19/191202.png,Manchester United,€165K,84
Finland,L. Hrádecký,https://cdn.sofifa.org/players/4/19/190941.png,Bayer 04 Leverkusen,€74K,84
Spain,Illarramendi,https://cdn.sofifa.org/players/4/19/190584.png,Real Sociedad,€51K,84
England,K. Walker,https://cdn.sofifa.org/players/4/19/188377.png,Manchester City,€165K,84
Germany,I. Gündoğan,https://cdn.sofifa.org/players/4/19/186942.png,Manchester City,€175K,84
Spain,José Callejón,https://cdn.sofifa.org/players/4/19/185020.png,Napoli,€105K,84
Argentina,A. Di María,https://cdn.sofifa.org/players/4/19/183898.png,Paris Saint-Germain,€125K,84
Croatia,M. Mandžukić,https://cdn.sofifa.org/players/4/19/181783.png,Juventus,€160K,84
Brazil,Willian,https://cdn.sofifa.org/players/4/19/180403.png,Chelsea,€175K,84
Spain,Sergio Asenjo,https://cdn.sofifa.org/players/4/19/178750.png,Villarreal CF,€42K,84
Argentina,E. Banega,https://cdn.sofifa.org/players/4/19/178562.png,Sevilla FC,€31K,84
Belgium,A. Witsel,https://cdn.sofifa.org/players/4/19/177413.png,Borussia Dortmund,€77K,84
France,D. Payet,https://cdn.sofifa.org/players/4/19/177388.png,Olympique de Marseille,€75K,84
Brazil,Jonas,https://cdn.sofifa.org/players/4/19/176769.png,SL Benfica,€25K,84
Greece,Sokratis,https://cdn.sofifa.org/players/4/19/172879.png,Arsenal,€140K,84
France,S. Ruffier,https://cdn.sofifa.org/players/4/19/167628.png,AS Saint-Étienne,€41K,84
Colombia,Falcao,https://cdn.sofifa.org/players/4/19/167397.png,AS Monaco,€115K,84
Denmark,K. Schmeichel,https://cdn.sofifa.org/players/4/19/163587.png,Leicester City,€78K,84
Spain,Raúl Albiol,https://cdn.sofifa.org/players/4/19/157481.png,Napoli,€88K,84
Argentina,A. Gómez,https://cdn.sofifa.org/players/4/19/143076.png,Atalanta,€53K,84
Italy,A. Barzagli,https://cdn.sofifa.org/players/4/19/137186.png,Juventus,€95K,84
Portugal,Quaresma,https://cdn.sofifa.org/players/4/19/20775.png,Beşiktaş JK,€80K,84
Netherlands,A. Robben,https://cdn.sofifa.org/players/4/19/9014.png,FC Bayern München,€110K,84
France,O. Dembélé,https://cdn.sofifa.org/players/4/19/231443.png,FC Barcelona,€155K,83
Brazil,Gabriel Jesus,https://cdn.sofifa.org/players/4/19/230666.png,Manchester City,€130K,83
Brazil,Ronaldo Cabrais,https://cdn.sofifa.org/players/4/19/230481.png,Grêmio,€51K,83
Brazil,Josué Chiamulera,https://cdn.sofifa.org/players/4/19/230375.png,Grêmio,€43K,83
Brazil,Louri Beretta,https://cdn.sofifa.org/players/4/19/230294.png,Atlético Mineiro,€60K,83
France,P. Kimpembe,https://cdn.sofifa.org/players/4/19/225850.png,Paris Saint-Germain,€82K,83
Guinea,N. Keïta,https://cdn.sofifa.org/players/4/19/220971.png,Liverpool,€120K,83
France,C. Tolisso,https://cdn.sofifa.org/players/4/19/219683.png,FC Bayern München,€85K,83
France,T. Lemar,https://cdn.sofifa.org/players/4/19/213565.png,Atlético Madrid,€64K,83
France,K. Coman,https://cdn.sofifa.org/players/4/19/213345.png,FC Bayern München,€85K,83
Germany,J. Tah,https://cdn.sofifa.org/players/4/19/213331.png,Bayer 04 Leverkusen,€67K,83
Brazil,Anderson Talisca,https://cdn.sofifa.org/players/4/19/212523.png,Guangzhou Evergrande Taobao FC,€18K,83
Germany,T. Werner,https://cdn.sofifa.org/players/4/19/212188.png,RB Leipzig,€70K,83
France,A. Rabiot,https://cdn.sofifa.org/players/4/19/210008.png,Paris Saint-Germain,€91K,83
Germany,L. Goretzka,https://cdn.sofifa.org/players/4/19/209658.png,FC Bayern München,€85K,83
Netherlands,Q. Promes,https://cdn.sofifa.org/players/4/19/208808.png,Sevilla FC,€28K,83
Morocco,H. Ziyech,https://cdn.sofifa.org/players/4/19/208670.png,Ajax,€28K,83
Spain,Lucas Vázquez,https://cdn.sofifa.org/players/4/19/208618.png,Real Madrid,€205K,83
Belgium,Y. Carrasco,https://cdn.sofifa.org/players/4/19/208418.png,Dalian YiFang FC,€20K,83
Spain,Gerard Moreno,https://cdn.sofifa.org/players/4/19/208093.png,Villarreal CF,€53K,83
Brazil,Felipe,https://cdn.sofifa.org/players/4/19/207863.png,FC Porto,€22K,83
Croatia,M. Kovačić,https://cdn.sofifa.org/players/4/19/207410.png,Chelsea,€165K,83
Spain,Kepa,https://cdn.sofifa.org/players/4/19/206585.png,Chelsea,€84K,83
Spain,Manu Trigueros,https://cdn.sofifa.org/players/4/19/206545.png,Villarreal CF,€49K,83
Germany,S. Gnabry,https://cdn.sofifa.org/players/4/19/206113.png,FC Bayern München,€85K,83
England,J. Pickford,https://cdn.sofifa.org/players/4/19/204935.png,Everton,€78K,83
Montenegro,S. Savić,https://cdn.sofifa.org/players/4/19/204639.png,Atlético Madrid,€67K,83
England,J. Stones,https://cdn.sofifa.org/players/4/19/203574.png,Manchester City,€125K,83
Spain,Suso,https://cdn.sofifa.org/players/4/19/202651.png,Milan,€115K,83
Germany,J. Draxler,https://cdn.sofifa.org/players/4/19/202166.png,Paris Saint-Germain,€91K,83
Brazil,Felipe Anderson,https://cdn.sofifa.org/players/4/19/201995.png,West Ham United,€110K,83
Brazil,Lucas Moura,https://cdn.sofifa.org/players/4/19/200949.png,Tottenham Hotspur,€115K,83
Portugal,Danilo Pereira,https://cdn.sofifa.org/players/4/19/200888.png,FC Porto,€21K,83
Spain,Nacho Fernández,https://cdn.sofifa.org/players/4/19/200724.png,Real Madrid,€180K,83
Germany,T. Horn,https://cdn.sofifa.org/players/4/19/200316.png,1. FC Köln,€25K,83
Brazil,Allan,https://cdn.sofifa.org/players/4/19/199914.png,Napoli,€87K,83
Italy,F. Acerbi,https://cdn.sofifa.org/players/4/19/199845.png,Lazio,€64K,83
Spain,Sergi Roberto,https://cdn.sofifa.org/players/4/19/199564.png,FC Barcelona,€170K,83
Spain,Rodrigo,https://cdn.sofifa.org/players/4/19/198329.png,Valencia CF,€57K,83
Portugal,Pizzi,https://cdn.sofifa.org/players/4/19/197965.png,SL Benfica,€22K,83
Slovenia,K. Kampl,https://cdn.sofifa.org/players/4/19/195365.png,RB Leipzig,€74K,83
Brazil,Neto,https://cdn.sofifa.org/players/4/19/194404.png,Valencia CF,€41K,83
Germany,O. Baumann,https://cdn.sofifa.org/players/4/19/193698.png,TSG 1899 Hoffenheim,€42K,83
Senegal,I. Gueye,https://cdn.sofifa.org/players/4/19/193474.png,Everton,€125K,83
Armenia,H. Mkhitaryan,https://cdn.sofifa.org/players/4/19/192883.png,Arsenal,€145K,83
Spain,Marcos Alonso,https://cdn.sofifa.org/players/4/19/192638.png,Chelsea,€130K,83
Croatia,D. Subašić,https://cdn.sofifa.org/players/4/19/192593.png,AS Monaco,€70K,83
Poland,K. Glik,https://cdn.sofifa.org/players/4/19/190547.png,AS Monaco,€86K,83
Netherlands,K. Strootman,https://cdn.sofifa.org/players/4/19/189712.png,Olympique de Marseille,€66K,83
Netherlands,B. Dost,https://cdn.sofifa.org/players/4/19/189068.png,Sporting CP,€26K,83
Brazil,Oscar,https://cdn.sofifa.org/players/4/19/188152.png,Shanghai SIPG FC,€29K,83
Italy,M. Balotelli,https://cdn.sofifa.org/players/4/19/186627.png,OGC Nice,€55K,83
Brazil,Luiz Gustavo,https://cdn.sofifa.org/players/4/19/185221.png,Olympique de Marseille,€63K,83
Brazil,Giuliano,https://cdn.sofifa.org/players/4/19/184942.png,Al Nassr,€64K,83
Brazil,David Luiz,https://cdn.sofifa.org/players/4/19/179944.png,Chelsea,€130K,83
Germany,R. Fährmann,https://cdn.sofifa.org/players/4/19/179783.png,FC Schalke 04,€38K,83
Spain,Juan Mata,https://cdn.sofifa.org/players/4/19/178088.png,Manchester United,€160K,83
Spain,Adán,https://cdn.sofifa.org/players/4/19/178086.png,Atlético Madrid,€55K,83
Portugal,Rui Patrício,https://cdn.sofifa.org/players/4/19/178005.png,Wolverhampton Wanderers,€74K,83
Switzerland,Y. Sommer,https://cdn.sofifa.org/players/4/19/177683.png,Borussia Mönchengladbach,€35K,83
Spain,Javi Martínez,https://cdn.sofifa.org/players/4/19/177610.png,FC Bayern München,€94K,83
Germany,L. Bender,https://cdn.sofifa.org/players/4/19/177457.png,Bayer 04 Leverkusen,€82K,83
Brazil,Lucas Leiva,https://cdn.sofifa.org/players/4/19/176266.png,Lazio,€64K,83
France,S. Mandanda,https://cdn.sofifa.org/players/4/19/163705.png,Olympique de Marseille,€51K,83
Spain,Cesc Fàbregas,https://cdn.sofifa.org/players/4/19/162895.png,Chelsea,€140K,83
Belgium,M. Dembélé,https://cdn.sofifa.org/players/4/19/162240.png,Tottenham Hotspur,€120K,83
France,F. Ribéry,https://cdn.sofifa.org/players/4/19/156616.png,FC Bayern München,€72K,83
Norway,R. Jarstein,https://cdn.sofifa.org/players/4/19/104389.png,Hertha BSC,€33K,83
Italy,D. De Rossi,https://cdn.sofifa.org/players/4/19/53302.png,Roma,€80K,83
Spain,Pepe Reina,https://cdn.sofifa.org/players/4/19/24630.png,Milan,€56K,83
Czech Republic,J. Pavlenka,https://cdn.sofifa.org/players/4/19/236583.png,SV Werder Bremen,€30K,82
Netherlands,M. de Ligt,https://cdn.sofifa.org/players/4/19/235243.png,Ajax,€11K,82
Spain,Rodri,https://cdn.sofifa.org/players/4/19/231866.png,Atlético Madrid,€59K,82
Brazil,Arthur,https://cdn.sofifa.org/players/4/19/230658.png,FC Barcelona,€125K,82
Italy,G. Donnarumma,https://cdn.sofifa.org/players/4/19/230621.png,Milan,€23K,82
Brazil,Rosberto Dourado,https://cdn.sofifa.org/players/4/19/230258.png,Atlético Mineiro,€46K,82
Brazil,Juiano Mestres,https://cdn.sofifa.org/players/4/19/230225.png,Cruzeiro,€39K,82
Brazil,Raphaelito Anjos,https://cdn.sofifa.org/players/4/19/230168.png,Grêmio,€32K,82
Portugal,Gelson Martins,https://cdn.sofifa.org/players/4/19/227055.png,Atlético Madrid,€59K,82
Portugal,Gonçalo Guedes,https://cdn.sofifa.org/players/4/19/224411.png,Valencia CF,€36K,82
Uruguay,L. Torreira,https://cdn.sofifa.org/players/4/19/223959.png,Arsenal,€98K,82
Brazil,Malcom,https://cdn.sofifa.org/players/4/19/222737.png,FC Barcelona,€140K,82
Spain,Pau López,https://cdn.sofifa.org/players/4/19/221087.png,Real Betis,€21K,82
France,L. Hernández,https://cdn.sofifa.org/players/4/19/220814.png,Atlético Madrid,€53K,82
France,C. Lenglet,https://cdn.sofifa.org/players/4/19/220440.png,FC Barcelona,€135K,82
Croatia,A. Kramarić,https://cdn.sofifa.org/players/4/19/216354.png,TSG 1899 Hoffenheim,€54K,82
Scotland,A. Robertson,https://cdn.sofifa.org/players/4/19/216267.png,Liverpool,€98K,82
Spain,Dani García,https://cdn.sofifa.org/players/4/19/216194.png,Athletic Club de Bilbao,€33K,82
Italy,F. Bernardeschi,https://cdn.sofifa.org/players/4/19/212404.png,Juventus,€110K,82
Germany,J. Brandt,https://cdn.sofifa.org/players/4/19/212194.png,Bayer 04 Leverkusen,€68K,82
Italy,D. Rugani,https://cdn.sofifa.org/players/4/19/211320.png,Juventus,€95K,82
Spain,Samu Castillejo,https://cdn.sofifa.org/players/4/19/210617.png,Milan,€94K,82
Portugal,João Cancelo,https://cdn.sofifa.org/players/4/19/210514.png,Juventus,€95K,82
Italy,A. Romagnoli,https://cdn.sofifa.org/players/4/19/210413.png,Milan,€84K,82
Ghana,T. Partey,https://cdn.sofifa.org/players/4/19/209989.png,Atlético Madrid,€59K,82
Brazil,Fred,https://cdn.sofifa.org/players/4/19/209297.png,Manchester United,€140K,82
England,J. Vardy,https://cdn.sofifa.org/players/4/19/208830.png,Leicester City,€96K,82
Italy,A. Belotti,https://cdn.sofifa.org/players/4/19/208596.png,Torino,€58K,82
Sweden,E. Forsberg,https://cdn.sofifa.org/players/4/19/208448.png,RB Leipzig,€67K,82
England,J. Lingard,https://cdn.sofifa.org/players/4/19/207494.png,Manchester United,€140K,82
Argentina,F. Vázquez,https://cdn.sofifa.org/players/4/19/207471.png,Sevilla FC,€27K,82
Bosnia Herzegovina,E. Višća,https://cdn.sofifa.org/players/4/19/205678.png,Medipol Başakşehir FK,€40K,82
Germany,A. Rüdiger,https://cdn.sofifa.org/players/4/19/205452.png,Chelsea,€110K,82
Italy,A. Florenzi,https://cdn.sofifa.org/players/4/19/203551.png,Roma,€73K,82
England,H. Maguire,https://cdn.sofifa.org/players/4/19/203263.png,Leicester City,€77K,82
Belgium,T. Meunier,https://cdn.sofifa.org/players/4/19/202371.png,Paris Saint-Germain,€87K,82
Senegal,S. Sané,https://cdn.sofifa.org/players/4/19/201956.png,FC Schalke 04,€41K,82
Central African Rep.,G. Kondogbia,https://cdn.sofifa.org/players/4/19/201455.png,Valencia CF,€46K,82
Brazil,Rafinha,https://cdn.sofifa.org/players/4/19/201400.png,FC Barcelona,€165K,82
Brazil,Gabriel Paulista,https://cdn.sofifa.org/players/4/19/201305.png,Valencia CF,€44K,82
Spain,Morata,https://cdn.sofifa.org/players/4/19/201153.png,Chelsea,€135K,82
Netherlands,J. Cillessen,https://cdn.sofifa.org/players/4/19/199987.png,FC Barcelona,€135K,82
France,W. Ben Yedder,https://cdn.sofifa.org/players/4/19/199451.png,Sevilla FC,€28K,82
DR Congo,C. Bakambu,https://cdn.sofifa.org/players/4/19/198951.png,Beijing Sinobo Guoan FC,€33K,82
Spain,Pablo Sarabia,https://cdn.sofifa.org/players/4/19/198950.png,Sevilla FC,€26K,82
Ivory Coast,W. Zaha,https://cdn.sofifa.org/players/4/19/198717.png,Crystal Palace,€78K,82
Spain,Luis Alberto,https://cdn.sofifa.org/players/4/19/198706.png,Lazio,€67K,82
Spain,Jonathan Viera,https://cdn.sofifa.org/players/4/19/198164.png,Beijing Sinobo Guoan FC,€31K,82
Spain,Bartra,https://cdn.sofifa.org/players/4/19/198141.png,Real Betis,€32K,82
Uruguay,S. Coates,https://cdn.sofifa.org/players/4/19/197655.png,Sporting CP,€19K,82
Brazil,Willian José,https://cdn.sofifa.org/players/4/19/195093.png,Real Sociedad,€44K,82
Russia,Mário Fernandes,https://cdn.sofifa.org/players/4/19/193525.png,PFC CSKA Moscow,€1K,82
Spain,Víctor Ruiz,https://cdn.sofifa.org/players/4/19/193469.png,Villarreal CF,€43K,82
Denmark,T. Delaney,https://cdn.sofifa.org/players/4/19/193283.png,Borussia Dortmund,€61K,82
Belgium,K. Casteels,https://cdn.sofifa.org/players/4/19/192984.png,VfL Wolfsburg,€46K,82
Germany,M. Götze,https://cdn.sofifa.org/players/4/19/192318.png,Borussia Dortmund,€67K,82
Germany,S. Mustafi,https://cdn.sofifa.org/players/4/19/192227.png,Arsenal,€115K,82
