Name,Photo,Overall,Potential,Value,Wage,Age,Height,Club,Nationality,League,Country,InternationalReputation
A. Golovin,https://cdn.sofifa.org/players/4/19/225663.png,79,85,17,61,22,5'11,AS Monaco,Russia,Ligue 1,France,1
A. Gomes,https://cdn.sofifa.org/players/4/19/240507.png,67,87,1.5,15,17,5'3,Manchester United,England,Premier League,UK,1
A. Gómez,https://cdn.sofifa.org/players/4/19/143076.png,84,84,30,53,30,5'5,Atalanta,Argentina,Serie A,Italy,3
A. Gomez Mancini,https://cdn.sofifa.org/players/4/19/245994.png,58,76,NA,2,17,5'11,Angers SCO,France,Ligue 1,France,1
A. Gomis,https://cdn.sofifa.org/players/4/19/201976.png,76,82,7.5,9,24,6'4,SPAL,Senegal,Serie A,Italy,1
A. Gonçalves,https://cdn.sofifa.org/players/4/19/193147.png,71,71,1.8,12,32,5'10,RC Strasbourg Alsace,France,Ligue 1,France,1
A. Gouiri,https://cdn.sofifa.org/players/4/19/240753.png,67,86,1.6,10,18,6'0,Olympique Lyonnais,France,Ligue 1,France,1
A. Grassi,https://cdn.sofifa.org/players/4/19/220475.png,75,83,9.5,43,23,6'0,Parma,Italy,Serie A,Italy,1
A. Gray,https://cdn.sofifa.org/players/4/19/194138.png,76,77,9,53,27,5'11,Watford,England,Premier League,UK,1
A. Griezmann,https://cdn.sofifa.org/players/4/19/194765.png,89,90,78,145,27,5'9,Atlético Madrid,France,La Liga,Spain,4
A. Guardado,https://cdn.sofifa.org/players/4/19/171897.png,82,82,19,35,31,5'7,Real Betis,Mexico,La Liga,Spain,3
A. Guðmundsson,https://cdn.sofifa.org/players/4/19/238004.png,69,81,1.9,6,21,5'10,AZ Alkmaar,Iceland,Eredivisie,Netherlands,1
A. Gunn,https://cdn.sofifa.org/players/4/19/216325.png,71,83,3.3,17,22,6'5,Southampton,England,Premier League,UK,1
A. Gunnarsson,https://cdn.sofifa.org/players/4/19/189167.png,73,73,3.1,34,29,5'10,Cardiff City,Iceland,Premier League,UK,1
A. Gürleyen,https://cdn.sofifa.org/players/4/19/245252.png,58,75,NA,1,19,6'4,1. FSV Mainz 05,Germany,Bundesliga,Germany,1
A. Gyan,https://cdn.sofifa.org/players/4/19/168320.png,74,74,4.5,15,32,5'11,Kayserispor,Ghana,Süper Lig,Turkey,3
A. Hack,https://cdn.sofifa.org/players/4/19/231111.png,74,78,6,18,24,6'4,1. FSV Mainz 05,Germany,Bundesliga,Germany,1
A. Hadouir,https://cdn.sofifa.org/players/4/19/137686.png,66,66,NA,2,35,5'8,Excelsior,Netherlands,Eredivisie,Netherlands,1
A. Hadžiahmetović,https://cdn.sofifa.org/players/4/19/233053.png,65,78,1,3,21,5'10,Atiker Konyaspor,Bosnia Herzegovina,Süper Lig,Turkey,NA
A. Hahn,https://cdn.sofifa.org/players/4/19/211862.png,73,73,4.2,20,27,6'1,FC Augsburg,Germany,Bundesliga,Germany,2
A. Hakimi,https://cdn.sofifa.org/players/4/19/235212.png,78,86,12.5,49,19,5'11,Borussia Dortmund,Morocco,Bundesliga,Germany,1
A. Halilović,https://cdn.sofifa.org/players/4/19/216349.png,76,83,11,61,22,5'7,Milan,Croatia,Serie A,Italy,NA
A. Harit,https://cdn.sofifa.org/players/4/19/232097.png,79,86,18,27,21,5'11,FC Schalke 04,Morocco,Bundesliga,Germany,2
A. Hjulsager,https://cdn.sofifa.org/players/4/19/217845.png,69,78,1.6,9,23,5'9,RC Celta,Denmark,La Liga,Spain,1
A. Hoffmann,https://cdn.sofifa.org/players/4/19/199779.png,72,76,3.4,18,25,6'3,Fortuna Düsseldorf,Germany,Bundesliga,Germany,1
A. Hrustić,https://cdn.sofifa.org/players/4/19/237647.png,67,75,1.1,3,21,5'10,FC Groningen,Australia,Eredivisie,Netherlands,NA
A. Hsissane,https://cdn.sofifa.org/players/4/19/209425.png,63,63,NA,3,27,6'1,Nîmes Olympique,Morocco,Ligue 1,France,1
A. Hunou,https://cdn.sofifa.org/players/4/19/215245.png,73,78,5.5,21,24,5'9,Stade Rennais FC,France,Ligue 1,France,1
A. Iacobucci,https://cdn.sofifa.org/players/4/19/201352.png,67,68,NA,4,27,6'2,Frosinone,Italy,Serie A,Italy,1
A. Ildız,https://cdn.sofifa.org/players/4/19/238587.png,62,70,NA,2,21,5'11,Yeni Malatyaspor,Turkey,Süper Lig,Turkey,1
A. Ioniţă,https://cdn.sofifa.org/players/4/19/192587.png,74,74,6,27,27,6'0,Cagliari,Moldova,Serie A,Italy,NA
A. Isak,https://cdn.sofifa.org/players/4/19/233731.png,69,83,2.2,11,18,6'3,Borussia Dortmund,Sweden,Bundesliga,Germany,1
A. Iwobi,https://cdn.sofifa.org/players/4/19/213655.png,78,84,14,81,22,6'1,Arsenal,Nigeria,Premier League,UK,1
A. Izzo,https://cdn.sofifa.org/players/4/19/216145.png,76,81,8.5,36,26,6'0,Torino,Italy,Serie A,Italy,1
A. Jahanbakhsh,https://cdn.sofifa.org/players/4/19/215871.png,77,80,11.5,41,24,5'11,Brighton & Hove Albion,Iran,Premier League,UK,2
A. Jahović,https://cdn.sofifa.org/players/4/19/212107.png,74,74,5,18,31,6'3,Atiker Konyaspor,FYR Macedonia,Süper Lig,Turkey,NA
A. Jakubech,https://cdn.sofifa.org/players/4/19/240371.png,64,75,NA,3,21,6'2,LOSC Lille,Slovakia,Ligue 1,France,1
A. Jakupović,https://cdn.sofifa.org/players/4/19/231606.png,56,72,NA,2,20,6'1,Empoli,Austria,Serie A,Italy,NA
A. Jansen,https://cdn.sofifa.org/players/4/19/186887.png,69,69,1.1,5,29,6'1,FC Emmen,Netherlands,Eredivisie,Netherlands,1
A. Januzaj,https://cdn.sofifa.org/players/4/19/208330.png,78,84,14,29,23,6'1,Real Sociedad,Belgium,La Liga,Spain,1
A. Jóhannsson,https://cdn.sofifa.org/players/4/19/203793.png,72,72,3.3,21,27,6'0,SV Werder Bremen,United States,Bundesliga,Germany,2
A. Jovanović,https://cdn.sofifa.org/players/4/19/234735.png,68,72,NA,6,25,6'4,SD Huesca,Serbia,La Liga,Spain,NA
A. Kačaniklić,https://cdn.sofifa.org/players/4/19/198394.png,68,68,NA,10,26,5'11,FC Nantes,Sweden,Ligue 1,France,NA
A. Kali,https://cdn.sofifa.org/players/4/19/203446.png,70,71,1.7,5,27,5'8,"NAC Breda",Morocco,Eredivisie,Netherlands,1
A. Kamara,https://cdn.sofifa.org/players/4/19/225541.png,71,76,3.2,31,23,5'10,Fulham,France,Premier League,UK,1
A. Kara,https://cdn.sofifa.org/players/4/19/223030.png,70,73,2.2,10,25,6'1,Bursaspor,Turkey,Süper Lig,Turkey,1
A. Karabulut,https://cdn.sofifa.org/players/4/19/177895.png,69,69,1,7,30,5'10,Sivasspor,Turkey,Süper Lig,Turkey,1
A. Karnuçu,https://cdn.sofifa.org/players/4/19/239891.png,60,79,NA,3,18,6'0,Galatasaray SK,Turkey,Süper Lig,Turkey,1
A. Keita,https://cdn.sofifa.org/players/4/19/215384.png,66,68,NA,3,26,6'0,Os Belenenses,Guinea,Liga Nos,Portugal,1
A. Khubulov,https://cdn.sofifa.org/players/4/19/199290.png,72,72,3.3,11,27,5'11,BB Erzurumspor,Russia,Süper Lig,Turkey,1
A. King,https://cdn.sofifa.org/players/4/19/186578.png,71,71,2.3,38,29,6'0,Leicester City,Wales,Premier League,UK,1
A. Knockaert,https://cdn.sofifa.org/players/4/19/203910.png,76,76,8.5,44,26,5'8,Brighton & Hove Albion,France,Premier League,UK,1
A. Koiki,https://cdn.sofifa.org/players/4/19/240786.png,56,63,NA,3,18,5'11,Burnley,England,Premier League,UK,1
A. Kolarov,https://cdn.sofifa.org/players/4/19/185103.png,82,82,12.5,73,32,6'2,Roma,Serbia,Serie A,Italy,2
A. Koné,https://cdn.sofifa.org/players/4/19/122849.png,74,74,3,15,34,6'0,Sivasspor,Ivory Coast,Süper Lig,Turkey,2
A. Kramarić,https://cdn.sofifa.org/players/4/19/216354.png,82,83,26,54,27,5'10,TSG 1899 Hoffenheim,Croatia,Bundesliga,Germany,NA
A. Kravets,https://cdn.sofifa.org/players/4/19/188058.png,73,73,4,14,29,6'2,Kayserispor,Ukraine,Süper Lig,Turkey,1
A. Kruiswijk,https://cdn.sofifa.org/players/4/19/137510.png,65,65,NA,4,33,6'2,Vitesse,Netherlands,Eredivisie,Netherlands,1
A. Kubalas,https://cdn.sofifa.org/players/4/19/243660.png,63,66,NA,4,26,6'1,MKE Ankaragücü,Turkey,Süper Lig,Turkey,1
A. La Gumina,https://cdn.sofifa.org/players/4/19/228378.png,68,76,1.3,6,22,6'0,Empoli,Italy,Serie A,Italy,1
A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,85,86,45,180,27,5'9,Arsenal,France,Premier League,UK,3
A. Lafont,https://cdn.sofifa.org/players/4/19/231691.png,78,90,14,12,19,6'4,Fiorentina,France,Serie A,Italy,2
A. Lallana,https://cdn.sofifa.org/players/4/19/180819.png,80,80,13.5,110,30,5'10,Liverpool,England,Premier League,UK,3
A. Laporte,https://cdn.sofifa.org/players/4/19/212218.png,84,88,34,135,24,6'2,Manchester City,France,Premier League,UK,2
A. Lazaar,https://cdn.sofifa.org/players/4/19/206161.png,67,68,NA,13,26,6'0,Newcastle United,Morocco,Premier League,UK,1
A. Legzdins,https://cdn.sofifa.org/players/4/19/182761.png,64,64,NA,8,31,6'3,Burnley,England,Premier League,UK,1
A. Lennon,https://cdn.sofifa.org/players/4/19/152747.png,76,76,7,48,31,5'5,Burnley,England,Premier League,UK,2
A. Leya Iseka,https://cdn.sofifa.org/players/4/19/223929.png,71,78,3.4,15,20,6'0,Toulouse Football Club,Belgium,Ligue 1,France,1
A. Limbombe,https://cdn.sofifa.org/players/4/19/201938.png,75,79,8.5,21,23,5'9,FC Nantes,Belgium,Ligue 1,France,1
A. Lindegaard,https://cdn.sofifa.org/players/4/19/135043.png,68,68,NA,14,34,6'4,Burnley,Denmark,Premier League,UK,2
A. Ljajić,https://cdn.sofifa.org/players/4/19/190544.png,80,81,17.5,52,26,6'0,Beşiktaş JK,Serbia,Süper Lig,Turkey,NA
A. Lookman,https://cdn.sofifa.org/players/4/19/230899.png,73,85,7,46,20,5'9,Everton,England,Premier League,UK,1
A. Lopes,https://cdn.sofifa.org/players/4/19/199482.png,84,86,25,72,27,6'0,Olympique Lyonnais,Portugal,Ligue 1,France,2
A. Lozano,https://cdn.sofifa.org/players/4/19/205495.png,74,79,7.5,26,25,6'1,Girona FC,Honduras,La Liga,Spain,1
A. Lunin,https://cdn.sofifa.org/players/4/19/243952.png,76,88,10.5,24,19,6'3,CD Leganés,Ukraine,La Liga,Spain,1
A. Lupu,https://cdn.sofifa.org/players/4/19/246049.png,61,73,NA,3,20,5'8,Deportivo Alavés,Romania,La Liga,Spain,1
A. Luthe,https://cdn.sofifa.org/players/4/19/192665.png,73,73,2.4,15,31,6'5,FC Augsburg,Germany,Bundesliga,Germany,1
A. Maher,https://cdn.sofifa.org/players/4/19/200223.png,72,75,3.9,10,24,5'9,AZ Alkmaar,Netherlands,Eredivisie,Netherlands,2
