Name,Photo,Age,Overall,Potential,Marking,StandingTackle,SlidingTackle,HeadingAccuracy,Dribbling,Curve,BallControl,Aggression,Interceptions,Positioning,Vision,Composure,Crossing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Finishing,Volleys,FKAccuracy,ShotPower,LongShots,Penalties,InternationalReputation,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting
T. Courtois,https://cdn.sofifa.org/players/4/19/192119.png,26,89,90,20,18,16,13,13,19,23,23,15,13,44,66,14,33,35,46,52,61,84,45,68,38,70,14,12,20,36,17,27,4,18,17,32.2,27.333333333333332,60.75,55.25,89.5,21
Sergio Busquets,https://cdn.sofifa.org/players/4/19/189511.png,29,89,89,90,86,80,68,80,66,88,85,87,77,87,90,62,89,82,50,52,66,87,52,66,86,77,67,44,68,61,54,60,4,85.33333333333333,75.5,85.2,77.66666666666667,63.75,70.25,89,59
E. Cavani,https://cdn.sofifa.org/players/4/19/179813.png,31,89,89,52,45,39,89,80,77,82,84,48,93,77,82,70,78,52,75,76,77,91,59,88,92,78,89,90,76,87,79,85,4,45.333333333333336,82,76.8,66.66666666666667,79.75,79.25,89,84.33333333333333
M. Neuer,https://cdn.sofifa.org/players/4/19/167495.png,32,89,89,17,10,11,25,30,14,48,29,30,12,70,70,15,55,59,54,60,51,84,35,77,43,80,13,11,11,25,16,47,5,12.666666666666666,29.25,42.2,43,62.25,58.75,89,20.5
S. Agüero,https://cdn.sofifa.org/players/4/19/153079.png,30,89,89,30,20,12,77,89,82,89,65,24,92,83,90,70,81,64,88,80,86,90,91,81,76,73,93,85,73,88,83,83,4,20.666666666666668,84.25,70.8,71.66666666666667,86,80.25,89,84.16666666666667
G. Chiellini,https://cdn.sofifa.org/players/4/19/138956.png,33,89,89,93,93,90,83,58,60,57,92,88,28,50,84,58,59,59,63,75,54,82,55,89,65,89,33,45,31,78,49,50,4,92,64.5,68.4,58.666666666666664,68.5,74.5,89,47.666666666666664
K. Mbappé,https://cdn.sofifa.org/players/4/19/231747.png,19,88,95,34,34,32,77,90,77,91,62,38,88,82,86,77,82,73,96,96,92,87,83,75,83,71,88,78,63,79,78,70,3,33.333333333333336,83.75,71.2,77.33333333333333,92.75,78,91.5,76
M. Salah,https://cdn.sofifa.org/players/4/19/209331.png,26,88,89,38,43,41,59,89,83,88,63,55,90,82,91,78,82,72,94,91,91,91,88,68,84,70,90,73,60,77,83,61,3,40.666666666666664,79.75,76.2,77.33333333333333,91.75,77.5,88.5,74
Casemiro,https://cdn.sofifa.org/players/4/19/200145.png,26,88,90,88,90,87,76,69,59,78,87,87,69,77,84,52,85,82,59,65,62,84,66,88,87,89,59,53,74,86,79,66,3,88.33333333333333,70.5,80.8,73,67.5,82.5,89,69.5
J. Rodríguez,https://cdn.sofifa.org/players/4/19/198710.png,26,88,89,52,41,44,62,85,89,90,64,55,80,89,87,90,89,83,73,67,83,85,76,54,70,68,83,90,86,86,92,81,4,45.666666666666664,81.5,75,87.33333333333333,77,67,88.5,86.33333333333333
L. Insigne,https://cdn.sofifa.org/players/4/19/198219.png,27,88,88,51,24,22,56,90,87,93,34,26,83,87,83,86,85,78,94,86,94,83,93,53,75,44,77,74,77,75,84,61,3,32.333333333333336,81.5,62.6,83,89.25,66.25,88,74.66666666666667
Isco,https://cdn.sofifa.org/players/4/19/197781.png,26,88,91,60,64,51,55,94,88,95,58,64,78,89,86,75,89,83,75,69,87,77,90,64,70,59,79,65,76,69,87,76,3,58.333333333333336,83,75,82.33333333333333,77,70.75,89.5,75.33333333333333
C. Eriksen,https://cdn.sofifa.org/players/4/19/190460.png,26,88,91,59,57,22,52,84,86,91,46,56,83,91,88,88,91,88,75,73,79,88,81,50,92,58,80,77,87,84,89,67,3,46,78.25,72.8,89,78.75,70.25,89.5,80.66666666666667
Coutinho,https://cdn.sofifa.org/players/4/19/189242.png,26,88,89,55,54,47,48,91,91,92,59,49,84,90,85,79,88,83,89,75,92,83,93,59,79,61,79,75,86,83,93,70,3,52,80.5,73.4,83.33333333333333,84.75,73,88.5,81
P. Aubameyang,https://cdn.sofifa.org/players/4/19/188567.png,29,88,88,27,25,36,79,79,80,82,43,48,90,77,86,77,77,64,93,95,76,87,70,79,76,76,88,86,74,82,79,76,3,29.333333333333332,80,68.8,72.66666666666667,87.75,75.25,88,80.83333333333333
M. Hummels,https://cdn.sofifa.org/players/4/19/178603.png,29,88,88,88,90,88,87,68,65,81,69,92,56,79,91,64,81,85,53,64,63,87,60,68,66,84,55,60,53,71,51,68,4,88.66666666666667,75.25,77.4,76.66666666666667,66.75,69.5,88,59.666666666666664
Marcelo,https://cdn.sofifa.org/players/4/19/176676.png,30,88,88,71,85,86,75,90,85,92,84,85,85,82,86,90,84,76,83,82,86,88,86,76,91,78,70,54,67,83,70,59,4,80.66666666666667,85.5,84.4,83.33333333333333,84.75,82.75,88,67.16666666666667
G. Bale,https://cdn.sofifa.org/players/4/19/173731.png,28,88,88,54,55,52,84,87,90,85,65,59,85,79,86,87,85,80,94,95,82,85,65,87,75,80,86,85,87,92,91,76,4,53.666666666666664,86.5,74.8,84,89,76.75,88,86.16666666666667
H. Lloris,https://cdn.sofifa.org/players/4/19/167948.png,31,88,88,29,10,18,10,10,11,34,31,27,10,30,65,13,50,50,65,62,55,85,54,74,41,43,10,11,10,23,14,40,4,19,16.25,32.6,37.666666666666664,66.75,53,88,18
G. Higuaín,https://cdn.sofifa.org/players/4/19/167664.png,30,88,88,35,22,18,80,84,74,85,50,20,92,74,86,68,75,59,73,73,75,86,69,79,70,85,92,90,62,86,80,70,4,25,80.75,64.4,67.33333333333333,76.75,75.75,88,80
Thiago Silva,https://cdn.sofifa.org/players/4/19/164240.png,33,88,88,88,89,85,81,62,61,80,76,89,59,72,81,60,80,80,70,72,68,82,68,90,74,82,38,63,64,71,68,60,4,87.33333333333333,71,75.4,73.33333333333333,73,78.5,88,60.666666666666664
S. Handanovič,https://cdn.sofifa.org/players/4/19/162835.png,33,88,88,25,10,13,10,12,12,16,25,22,12,41,69,12,36,34,51,55,47,83,36,78,41,71,10,12,14,22,19,23,3,16,12.5,33.8,27.333333333333332,59,56.5,88,16.666666666666668
G. Buffon,https://cdn.sofifa.org/players/4/19/1179.png,40,88,88,13,11,11,13,26,20,28,38,28,12,50,70,13,37,35,49,43,55,79,49,75,39,69,15,17,13,39,13,22,4,11.666666666666666,21.75,39.6,28.333333333333332,56.5,58,88,19.833333333333332
S. Umtiti,https://cdn.sofifa.org/players/4/19/205600.png,24,87,92,90,89,86,79,69,72,77,81,87,58,58,82,69,81,73,71,73,68,82,66,89,78,84,51,70,62,83,74,61,3,88.33333333333333,74.25,73.2,74.33333333333333,73.5,79.25,89.5,66.83333333333333
M. Icardi,https://cdn.sofifa.org/players/4/19/201399.png,25,87,90,45,24,20,91,77,58,81,56,22,92,64,85,46,73,54,77,78,76,88,76,94,72,76,91,85,45,84,70,82,3,29.666666666666668,76.75,63.8,57.666666666666664,79.75,79.5,88.5,76.16666666666667
K. Koulibaly,https://cdn.sofifa.org/players/4/19/201024.png,27,87,90,91,88,86,81,66,28,60,87,88,24,43,78,30,66,56,68,75,50,80,40,81,71,94,19,14,28,55,15,33,3,88.33333333333333,58.75,64,50.666666666666664,68.25,71.5,88.5,27.333333333333332
P. Pogba,https://cdn.sofifa.org/players/4/19/195864.png,25,87,91,66,70,68,73,87,84,90,78,66,81,87,87,80,86,90,71,79,74,81,64,83,88,89,73,85,82,90,81,81,4,68,83.5,79.8,85.33333333333333,76.25,81,89,82
K. Navas,https://cdn.sofifa.org/players/4/19/193041.png,31,87,87,28,14,14,11,16,11,19,32,20,16,68,67,11,30,37,54,53,60,84,61,74,39,75,15,11,15,21,13,25,3,18.666666666666668,14.25,40.6,26,62.75,62.25,87,16.666666666666668
R. Lukaku,https://cdn.sofifa.org/players/4/19/192505.png,25,87,89,30,30,30,86,80,74,72,75,27,89,76,83,78,77,73,77,90,60,86,46,71,84,94,87,79,66,88,74,78,3,30,78,70,76,78.25,73.75,88,78.66666666666667
C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,28,87,87,34,33,32,81,83,70,83,77,40,91,65,81,55,74,49,78,85,77,87,63,77,80,76,90,87,51,86,80,78,3,33,79.25,70.8,59.333333333333336,81.75,74,87,78.66666666666667
Jordi Alba,https://cdn.sofifa.org/players/4/19/189332.png,29,87,87,72,84,85,70,80,80,84,75,84,79,70,79,87,84,74,93,93,90,83,85,81,91,61,73,60,63,64,66,59,3,80.33333333333333,78.5,77.4,81.66666666666667,89.75,79.5,87,64.16666666666667
D. Mertens,https://cdn.sofifa.org/players/4/19/175943.png,31,87,87,25,40,40,35,91,82,89,59,36,87,83,81,77,82,74,93,85,94,88,92,60,75,42,86,70,79,80,81,79,3,35,74.25,69.2,77.66666666666667,90,67.25,87,79.16666666666667
J. Vertonghen,https://cdn.sofifa.org/players/4/19/172871.png,31,87,87,90,87,88,80,71,58,76,84,89,60,68,83,68,79,74,61,65,61,84,60,85,75,79,56,52,73,80,66,66,3,88.33333333333333,71.25,76.8,73.66666666666667,67.75,74.75,87,65.5
M. Hamšík,https://cdn.sofifa.org/players/4/19/171877.png,30,87,87,75,73,62,74,86,80,87,56,72,88,86,84,78,88,83,69,68,76,88,66,71,84,67,79,79,72,82,83,70,3,70,81.75,77.2,83,75.25,72,87,77.5
I. Rakitić,https://cdn.sofifa.org/players/4/19/168651.png,30,87,87,72,74,70,58,84,88,87,67,75,79,86,81,84,87,90,66,59,72,77,66,39,84,66,83,80,84,84,90,82,4,72,79.25,77.6,87,68.5,63.75,87,83.83333333333333
Piqué,https://cdn.sofifa.org/players/4/19/152729.png,31,87,87,91,86,84,83,59,58,78,72,88,58,62,86,57,81,80,49,60,58,84,36,74,65,83,64,57,43,62,51,69,4,87,69.5,73.2,72.66666666666667,62.75,64.5,87,57.666666666666664
L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,22,86,92,36,32,35,72,88,82,85,61,34,84,82,78,83,79,64,93,96,88,81,81,64,79,70,81,85,68,86,78,71,2,34.333333333333336,81.75,67.8,75.33333333333333,89.5,73.5,89,78.16666666666667
Bernardo Silva,https://cdn.sofifa.org/players/4/19/218667.png,23,86,91,49,44,35,51,92,83,91,58,49,83,86,85,85,85,79,84,74,90,82,88,50,78,48,75,69,67,70,72,68,2,42.666666666666664,79.25,72.2,83,82.5,66,88.5,70.16666666666667
Ederson,https://cdn.sofifa.org/players/4/19/210257.png,24,86,90,28,15,8,14,23,15,37,35,25,20,67,70,20,56,58,64,63,60,86,48,58,41,68,14,18,20,42,18,17,2,17,22.25,43.4,44.666666666666664,68.25,53.75,88,21.5
S. Mané,https://cdn.sofifa.org/players/4/19/208722.png,26,86,87,42,42,38,62,87,74,86,73,35,87,82,80,73,79,71,95,93,91,86,86,75,84,67,84,71,64,82,74,71,3,40.666666666666664,77.25,71.4,74.33333333333333,91.25,78,86.5,74.33333333333333
V. van Dijk,https://cdn.sofifa.org/players/4/19/203376.png,26,86,88,88,89,84,82,70,60,73,81,86,41,59,83,53,76,78,74,77,61,85,49,85,71,92,52,45,70,81,64,62,3,87,71.25,70,69,74.25,74.25,87,62.333333333333336
R. Sterling,https://cdn.sofifa.org/players/4/19/202652.png,23,86,89,47,58,54,38,88,70,87,38,30,87,77,77,77,84,69,95,92,93,87,93,57,78,52,77,67,63,73,73,69,3,53,70.75,61.8,76.66666666666667,91.75,70,87.5,70.33333333333333
Roberto Firmino,https://cdn.sofifa.org/players/4/19/201942.png,26,86,87,60,64,42,77,87,80,88,73,58,87,85,87,72,86,75,78,77,80,86,81,81,90,74,87,81,65,81,76,72,3,55.333333333333336,83,78,77.66666666666667,80.25,81.5,86.5,77
R. Varane,https://cdn.sofifa.org/players/4/19/201535.png,25,86,91,87,88,87,83,57,46,77,77,82,44,56,82,36,75,76,83,85,63,83,40,79,73,84,40,42,54,52,53,43,3,87.33333333333333,65.75,68.2,62.333333333333336,78.5,69,88.5,47.333333333333336
M. Verratti,https://cdn.sofifa.org/players/4/19/199556.png,25,86,89,78,83,80,55,90,73,88,89,84,71,87,93,72,90,89,69,62,87,85,94,64,77,52,60,64,64,56,58,64,3,80.33333333333333,76.5,84.8,83.66666666666667,75.75,71.75,87.5,61
Alex Sandro,https://cdn.sofifa.org/players/4/19/191043.png,27,86,86,81,84,84,76,80,78,81,82,82,70,70,82,84,81,71,83,86,79,84,78,79,92,79,55,68,59,80,72,60,3,83,78.75,77.2,78.66666666666667,83,82,86,65.66666666666667
Douglas Costa,https://cdn.sofifa.org/players/4/19/190483.png,27,86,86,45,38,34,50,92,84,91,55,48,76,84,84,84,84,68,97,93,93,84,91,61,78,63,67,76,78,86,80,77,3,39,79.25,69.4,78.66666666666667,91.75,73.25,86,77.33333333333333
T. Müller,https://cdn.sofifa.org/players/4/19/189596.png,28,86,86,44,41,44,82,75,81,82,57,58,92,85,83,79,83,72,73,75,75,91,72,81,87,68,87,84,59,78,80,60,4,43,80,75,78,78.5,77,86,74.66666666666667
Thiago,https://cdn.sofifa.org/players/4/19/189509.png,27,86,86,67,63,65,54,90,85,90,57,78,79,86,85,72,90,87,78,69,90,84,86,75,75,59,69,90,77,75,79,75,3,65,79.75,77,83,80.25,73.75,86,77.5
M. Reus,https://cdn.sofifa.org/players/4/19/188350.png,29,86,86,47,36,45,49,87,89,86,49,50,88,86,84,79,86,75,86,85,86,87,81,70,73,67,87,90,84,88,86,89,4,42.666666666666664,77.75,71.4,80,86,72.75,86,87.33333333333333
Azpilicueta,https://cdn.sofifa.org/players/4/19/184432.png,28,86,86,88,90,86,76,69,68,77,82,89,62,74,78,81,81,80,76,76,72,88,73,76,87,71,46,51,58,68,60,66,3,88,72.5,77,80.66666666666667,78,76.75,86,58.166666666666664
L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,31,86,86,90,86,80,86,69,56,75,82,90,38,74,86,44,77,85,57,65,60,84,52,85,71,83,48,58,61,74,65,70,3,85.33333333333333,71.5,74,68.66666666666667,66.5,72.75,86,62.666666666666664
T. Alderweireld,https://cdn.sofifa.org/players/4/19/184087.png,29,86,87,90,91,86,82,62,63,74,80,87,58,67,81,64,79,85,61,66,60,86,50,84,74,79,45,38,69,78,65,58,3,89,70.25,74.6,76,68.25,71.75,86.5,58.833333333333336
M. Pjanić,https://cdn.sofifa.org/players/4/19/180206.png,28,86,86,75,74,70,60,86,86,89,70,78,70,88,86,80,89,85,66,66,77,84,79,61,78,66,60,72,92,78,82,79,3,73,80.25,78.4,84.66666666666667,73.25,71,86,77.16666666666667
M. Benatia,https://cdn.sofifa.org/players/4/19/177509.png,31,86,86,89,87,85,83,64,34,64,86,86,38,47,82,45,65,65,65,75,59,82,53,85,69,91,47,44,27,66,24,41,3,87,61.25,67.8,58.333333333333336,70.25,74.5,86,41.5
M. Özil,https://cdn.sofifa.org/players/4/19/176635.png,29,86,86,24,16,19,54,84,84,90,48,24,83,91,82,83,89,82,72,69,79,84,70,48,69,57,73,80,77,70,75,67,4,19.666666666666668,78,65.6,84.66666666666667,76,61,86,73.66666666666667
Fernandinho,https://cdn.sofifa.org/players/4/19/135507.png,33,86,86,85,85,80,63,77,70,82,87,88,70,75,79,68,85,81,68,67,72,86,78,76,79,76,69,74,72,83,78,61,3,83.33333333333333,73,79.8,78,73.25,77.25,86,72.83333333333333
Iniesta,https://cdn.sofifa.org/players/4/19/41.png,34,86,86,67,57,56,54,90,80,92,58,66,81,93,89,77,90,85,70,67,79,86,84,47,55,58,70,74,70,65,71,71,4,60,79,77.4,84,75.5,61,86,70.16666666666667
M. Škriniar,https://cdn.sofifa.org/players/4/19/232363.png,23,85,92,92,88,82,80,59,34,67,86,86,30,57,80,40,70,68,70,73,48,81,48,78,77,83,42,40,30,50,30,56,1,87.33333333333333,60,67.8,59.333333333333336,68,71.5,88.5,41.333333333333336
S. Milinković-Savić,https://cdn.sofifa.org/players/4/19/223848.png,23,85,90,75,77,72,86,86,78,87,73,78,79,85,82,64,85,85,68,70,66,80,59,85,85,88,80,74,75,83,80,56,2,74.66666666666667,84.25,79.4,78,71,79.25,87.5,74.66666666666667
Marco Asensio,https://cdn.sofifa.org/players/4/19/220834.png,22,85,92,40,42,39,50,86,83,85,45,45,82,84,83,82,83,82,85,82,79,82,76,58,76,61,82,79,76,86,88,62,3,40.333333333333336,76,67.8,82.33333333333333,82,67.75,88.5,78.83333333333333
N. Fekir,https://cdn.sofifa.org/players/4/19/216594.png,24,85,89,31,37,25,49,90,81,89,73,28,81,81,89,83,83,75,79,79,90,80,91,69,80,82,82,77,79,84,82,81,3,31,77.25,70.4,80.33333333333333,82,80.5,87,80.83333333333333
Alisson,https://cdn.sofifa.org/players/4/19/212831.png,25,85,90,15,19,16,19,27,19,30,27,11,13,66,65,17,45,44,54,45,40,84,37,52,32,78,13,20,18,21,14,23,3,16.666666666666668,23.75,36.4,35.333333333333336,55.75,49.75,87.5,18.166666666666668
J. Kimmich,https://cdn.sofifa.org/players/4/19/212622.png,23,85,88,75,81,79,74,80,81,85,74,79,80,79,82,90,85,80,78,68,84,85,83,79,85,65,66,61,61,75,69,44,3,78.33333333333333,80,78.8,85,78.75,78,86.5,62.666666666666664
Saúl,https://cdn.sofifa.org/players/4/19/208421.png,23,85,90,77,79,76,83,83,72,85,69,78,82,82,83,69,85,83,74,73,76,82,69,79,86,77,78,76,60,78,79,55,3,77.33333333333333,80.75,78.8,79,76.25,77.75,87.5,71
R. Mahrez,https://cdn.sofifa.org/players/4/19/204485.png,27,85,85,45,31,18,48,91,84,90,48,39,80,81,86,81,82,76,88,83,93,77,88,61,76,54,80,72,78,79,81,73,3,31.333333333333332,78.25,66.8,79.66666666666667,85.25,69.75,85,77.16666666666667
D. Alaba,https://cdn.sofifa.org/players/4/19/197445.png,26,85,87,80,82,80,75,79,78,83,69,84,76,77,79,81,82,80,79,86,79,84,77,82,87,71,63,68,84,83,82,80,4,80.66666666666667,78.75,77,81,82,79.25,86,76.66666666666667
Koke,https://cdn.sofifa.org/players/4/19/193747.png,26,85,86,80,69,51,61,82,85,86,71,66,84,87,78,86,90,89,71,68,74,85,78,61,90,79,72,56,76,84,81,59,3,66.66666666666667,78.5,77.2,88.33333333333333,74.5,77,85.5,71.33333333333333
A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,27,85,86,29,42,30,73,85,74,83,70,42,86,76,85,64,80,59,81,84,85,85,85,76,79,73,88,81,71,83,75,84,3,33.666666666666664,78.75,71.8,67.66666666666667,83.75,78.25,85.5,80.33333333333333
K. Manolas,https://cdn.sofifa.org/players/4/19/192774.png,27,85,87,86,87,89,80,54,30,65,86,86,25,22,79,27,60,61,80,85,68,85,59,86,76,82,10,16,10,40,12,26,3,87.33333333333333,57.25,59.6,49.333333333333336,79.5,75.75,86,19
N. Otamendi,https://cdn.sofifa.org/players/4/19/192366.png,30,85,85,83,85,84,85,51,50,70,91,84,51,53,80,52,75,72,57,61,64,79,62,92,67,80,54,57,39,69,56,45,3,84,64,71.8,66.33333333333333,65.25,75.25,85,53.333333333333336
Parejo,https://cdn.sofifa.org/players/4/19/189513.png,29,85,85,69,68,60,61,78,89,84,58,81,81,86,78,84,90,87,51,43,66,78,72,51,78,72,79,72,90,78,82,83,2,65.66666666666667,78,76.8,87,59.5,68.25,85,80.66666666666667
Paulinho,https://cdn.sofifa.org/players/4/19/187961.png,29,85,85,75,81,73,85,82,66,84,81,81,84,78,80,64,84,80,73,73,69,84,66,90,92,81,81,75,72,83,80,71,3,76.33333333333333,79.25,80.8,76,74.75,82.25,85,77
W. Szczęsny,https://cdn.sofifa.org/players/4/19/186153.png,28,85,87,20,13,12,16,11,16,22,40,15,14,48,65,12,32,36,51,47,55,82,51,71,45,65,12,14,14,15,14,18,3,15,16.25,36.4,26.666666666666668,58.75,58,86,14.5
A. Sánchez,https://cdn.sofifa.org/players/4/19/184941.png,29,85,85,38,44,35,73,87,79,86,79,46,84,82,84,77,77,75,86,79,90,83,87,87,83,72,80,83,78,84,81,77,4,39,81.25,75,76.33333333333333,84.5,82.25,85,80.5
Y. Brahimi,https://cdn.sofifa.org/players/4/19/184267.png,28,85,85,51,36,25,46,93,84,86,46,38,83,79,90,79,79,72,87,75,92,84,87,72,85,49,76,73,78,69,76,75,3,37.333333333333336,77.25,67.2,76.66666666666667,84.5,73.25,85,74.5
J. Boateng,https://cdn.sofifa.org/players/4/19/183907.png,29,85,85,84,87,87,85,64,53,70,81,81,47,75,84,69,75,83,67,72,56,82,52,74,69,91,34,52,31,78,58,46,4,86,68,73.6,75.66666666666667,69.25,71.5,85,49.833333333333336
A. Vidal,https://cdn.sofifa.org/players/4/19/181872.png,31,85,85,82,87,86,82,76,76,82,93,84,80,80,81,76,83,79,60,55,74,84,75,85,83,79,75,78,68,86,85,81,4,85,79,83.6,79.33333333333333,68.25,80.5,85,78.83333333333333
I. Perišić,https://cdn.sofifa.org/players/4/19/181458.png,29,85,85,64,52,54,80,84,73,85,65,69,85,79,80,83,81,77,84,88,78,81,74,84,89,78,79,81,75,84,79,76,3,56.666666666666664,80.5,75.6,80.33333333333333,82.75,81.25,85,79
E. Džeko,https://cdn.sofifa.org/players/4/19/180930.png,32,85,85,58,28,16,84,76,65,84,51,50,89,74,83,63,77,72,65,66,57,83,36,66,76,80,89,77,54,86,79,67,3,34,77.25,69.4,70.66666666666667,67.75,64.5,85,75.33333333333333
S. Khedira,https://cdn.sofifa.org/players/4/19/179846.png,31,85,85,80,83,76,76,81,68,84,82,86,79,82,84,72,85,82,54,60,55,87,54,68,78,87,72,78,68,82,78,69,3,79.66666666666667,77.25,82.6,79.66666666666667,64,71.75,85,74.5
Diego Costa,https://cdn.sofifa.org/players/4/19/179844.png,29,85,85,58,39,34,82,77,62,83,93,40,87,74,83,65,65,52,74,76,58,85,53,64,76,92,87,81,59,83,74,75,4,43.666666666666664,76,75.4,60.666666666666664,73.25,71.25,85,76.5
R. Nainggolan,https://cdn.sofifa.org/players/4/19/178518.png,30,85,85,83,86,90,59,80,73,85,88,86,86,76,84,73,84,81,78,73,76,87,82,76,93,77,75,75,68,84,86,63,3,86.33333333333333,74.25,84,79.33333333333333,78.5,82,85,75.16666666666667
