Name,Photo,Overall,Potential,Value,Wage,Age,Height,InternationalReputation
K. Navas,https://cdn.sofifa.org/players/4/19/193041.png,87,87,30.5,195,31,6'1,3
R. Lukaku,https://cdn.sofifa.org/players/4/19/192505.png,87,89,62.5,230,25,6'3,3
C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,87,87,52,115,28,6'1,3
Jordi Alba,https://cdn.sofifa.org/players/4/19/189332.png,87,87,38,250,29,5'7,3
D. Mertens,https://cdn.sofifa.org/players/4/19/175943.png,87,87,45,135,31,5'7,3
J. Vertonghen,https://cdn.sofifa.org/players/4/19/172871.png,87,87,34,155,31,6'2,3
M. Hamšík,https://cdn.sofifa.org/players/4/19/171877.png,87,87,46.5,125,30,6'0,3
I. Rakitić,https://cdn.sofifa.org/players/4/19/168651.png,87,87,46.5,260,30,6'0,4
Piqué,https://cdn.sofifa.org/players/4/19/152729.png,87,87,34,240,31,6'4,4
L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,86,92,61,195,22,6'0,2
Bernardo Silva,https://cdn.sofifa.org/players/4/19/218667.png,86,91,59.5,180,23,5'8,2
Ederson,https://cdn.sofifa.org/players/4/19/210257.png,86,90,41.5,125,24,6'2,2
S. Mané,https://cdn.sofifa.org/players/4/19/208722.png,86,87,52,195,26,5'9,3
V. van Dijk,https://cdn.sofifa.org/players/4/19/203376.png,86,88,44.5,165,26,6'4,3
R. Sterling,https://cdn.sofifa.org/players/4/19/202652.png,86,89,56.5,195,23,5'7,3
Roberto Firmino,https://cdn.sofifa.org/players/4/19/201942.png,86,87,53,195,26,5'11,3
R. Varane,https://cdn.sofifa.org/players/4/19/201535.png,86,91,50,210,25,6'3,3
M. Verratti,https://cdn.sofifa.org/players/4/19/199556.png,86,89,55,135,25,5'5,3
Alex Sandro,https://cdn.sofifa.org/players/4/19/191043.png,86,86,36.5,160,27,5'11,3
Douglas Costa,https://cdn.sofifa.org/players/4/19/190483.png,86,86,46.5,175,27,5'8,3
T. Müller,https://cdn.sofifa.org/players/4/19/189596.png,86,86,45,135,28,6'1,4
Thiago,https://cdn.sofifa.org/players/4/19/189509.png,86,86,45.5,130,27,5'9,3
M. Reus,https://cdn.sofifa.org/players/4/19/188350.png,86,86,43.5,100,29,5'11,4
Azpilicueta,https://cdn.sofifa.org/players/4/19/184432.png,86,86,35,175,28,5'10,3
L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,86,86,30,160,31,6'3,3
T. Alderweireld,https://cdn.sofifa.org/players/4/19/184087.png,86,87,39,150,29,6'1,3
M. Pjanić,https://cdn.sofifa.org/players/4/19/180206.png,86,86,44,180,28,5'10,3
M. Benatia,https://cdn.sofifa.org/players/4/19/177509.png,86,86,30,160,31,6'2,3
M. Özil,https://cdn.sofifa.org/players/4/19/176635.png,86,86,43.5,190,29,5'11,4
Fernandinho,https://cdn.sofifa.org/players/4/19/135507.png,86,86,18,185,33,5'10,3
Iniesta,https://cdn.sofifa.org/players/4/19/41.png,86,86,21.5,21,34,5'7,4
M. Škriniar,https://cdn.sofifa.org/players/4/19/232363.png,85,92,46.5,82,23,6'2,1
S. Milinković-Savić,https://cdn.sofifa.org/players/4/19/223848.png,85,90,50.5,73,23,6'3,2
Marco Asensio,https://cdn.sofifa.org/players/4/19/220834.png,85,92,54,215,22,6'0,3
N. Fekir,https://cdn.sofifa.org/players/4/19/216594.png,85,89,50,92,24,5'8,3
Alisson,https://cdn.sofifa.org/players/4/19/212831.png,85,90,36.5,115,25,6'3,3
J. Kimmich,https://cdn.sofifa.org/players/4/19/212622.png,85,88,40.5,92,23,5'9,3
Saúl,https://cdn.sofifa.org/players/4/19/208421.png,85,90,50.5,77,23,6'0,3
R. Mahrez,https://cdn.sofifa.org/players/4/19/204485.png,85,85,40.5,205,27,5'10,3
D. Alaba,https://cdn.sofifa.org/players/4/19/197445.png,85,87,38,110,26,5'11,4
Koke,https://cdn.sofifa.org/players/4/19/193747.png,85,86,45,88,26,5'9,3
A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,85,86,45,180,27,5'9,3
K. Manolas,https://cdn.sofifa.org/players/4/19/192774.png,85,87,37.5,96,27,6'2,3
N. Otamendi,https://cdn.sofifa.org/players/4/19/192366.png,85,85,28.5,170,30,6'0,3
Parejo,https://cdn.sofifa.org/players/4/19/189513.png,85,85,37,66,29,6'0,2
Paulinho,https://cdn.sofifa.org/players/4/19/187961.png,85,85,37,235,29,6'0,3
W. Szczęsny,https://cdn.sofifa.org/players/4/19/186153.png,85,87,32,125,28,6'5,3
A. Sánchez,https://cdn.sofifa.org/players/4/19/184941.png,85,85,37.5,215,29,5'7,4
Y. Brahimi,https://cdn.sofifa.org/players/4/19/184267.png,85,85,39,28,28,5'9,3
J. Boateng,https://cdn.sofifa.org/players/4/19/183907.png,85,85,30,115,29,6'4,4
A. Vidal,https://cdn.sofifa.org/players/4/19/181872.png,85,85,26,205,31,5'11,4
I. Perišić,https://cdn.sofifa.org/players/4/19/181458.png,85,85,37.5,110,29,6'1,3
E. Džeko,https://cdn.sofifa.org/players/4/19/180930.png,85,85,30.5,115,32,6'4,3
S. Khedira,https://cdn.sofifa.org/players/4/19/179846.png,85,85,33,160,31,6'2,3
Diego Costa,https://cdn.sofifa.org/players/4/19/179844.png,85,85,38.5,100,29,6'2,4
R. Nainggolan,https://cdn.sofifa.org/players/4/19/178518.png,85,85,35.5,105,30,5'9,3
Naldo,https://cdn.sofifa.org/players/4/19/171919.png,85,85,9,38,35,6'6,3
B. Matuidi,https://cdn.sofifa.org/players/4/19/170890.png,85,85,26,145,31,5'11,3
Miranda,https://cdn.sofifa.org/players/4/19/168609.png,85,85,15.5,96,33,6'1,3
K. Benzema,https://cdn.sofifa.org/players/4/19/165153.png,85,85,37,240,30,6'1,4
Filipe Luís,https://cdn.sofifa.org/players/4/19/164169.png,85,85,21.5,81,32,6'0,3
V. Kompany,https://cdn.sofifa.org/players/4/19/139720.png,85,85,22,170,32,6'3,4
Pepe,https://cdn.sofifa.org/players/4/19/120533.png,85,85,9,57,35,6'2,4
Z. Ibrahimović,https://cdn.sofifa.org/players/4/19/41236.png,85,85,14,15,36,6'5,5
D. Sánchez,https://cdn.sofifa.org/players/4/19/220793.png,84,88,34,105,22,6'2,2
J. Giménez,https://cdn.sofifa.org/players/4/19/216460.png,84,88,34,63,23,6'1,2
Alex Telles,https://cdn.sofifa.org/players/4/19/212462.png,84,87,32,22,25,5'11,3
A. Laporte,https://cdn.sofifa.org/players/4/19/212218.png,84,88,34,135,24,6'2,2
Bruno Fernandes,https://cdn.sofifa.org/players/4/19/212198.png,84,88,40.5,22,23,5'10,2
N. Süle,https://cdn.sofifa.org/players/4/19/212190.png,84,90,36.5,84,22,6'5,2
A. Martial,https://cdn.sofifa.org/players/4/19/211300.png,84,90,42.5,165,22,6'0,3
D. Alli,https://cdn.sofifa.org/players/4/19/211117.png,84,90,42.5,115,22,6'2,3
Fabinho,https://cdn.sofifa.org/players/4/19/209499.png,84,88,34,120,24,6'2,3
Marquinhos,https://cdn.sofifa.org/players/4/19/207865.png,84,89,35.5,90,24,6'0,3
William Carvalho,https://cdn.sofifa.org/players/4/19/207566.png,84,86,31.5,38,26,6'2,3
Jorginho,https://cdn.sofifa.org/players/4/19/205498.png,84,87,38,155,26,5'11,2
F. Thauvin,https://cdn.sofifa.org/players/4/19/204970.png,84,87,39,72,25,5'10,2
Carvajal,https://cdn.sofifa.org/players/4/19/204963.png,84,87,31.5,185,26,5'8,3
M. Depay,https://cdn.sofifa.org/players/4/19/202556.png,84,89,42,93,24,5'9,3
H. Son,https://cdn.sofifa.org/players/4/19/200104.png,84,85,37,125,25,6'0,3
A. Lopes,https://cdn.sofifa.org/players/4/19/199482.png,84,86,25,72,27,6'0,2
S. de Vrij,https://cdn.sofifa.org/players/4/19/198176.png,84,86,31.5,88,26,6'2,3
M. Perin,https://cdn.sofifa.org/players/4/19/198009.png,84,89,29.5,105,25,6'2,2
J. Cuadrado,https://cdn.sofifa.org/players/4/19/193082.png,84,84,29.5,150,30,5'10,3
Iago Aspas,https://cdn.sofifa.org/players/4/19/192629.png,84,84,30,45,30,5'9,2
B. Leno,https://cdn.sofifa.org/players/4/19/192563.png,84,87,27,115,26,6'3,3
N. Matić,https://cdn.sofifa.org/players/4/19/191202.png,84,84,24,165,29,6'4,3
L. Hrádecký,https://cdn.sofifa.org/players/4/19/190941.png,84,84,22,74,28,6'4,2
Illarramendi,https://cdn.sofifa.org/players/4/19/190584.png,84,84,31,51,28,5'10,2
K. Walker,https://cdn.sofifa.org/players/4/19/188377.png,84,84,24.5,165,28,6'0,3
I. Gündoğan,https://cdn.sofifa.org/players/4/19/186942.png,84,84,32,175,27,5'11,3
José Callejón,https://cdn.sofifa.org/players/4/19/185020.png,84,84,27.5,105,31,5'10,3
A. Di María,https://cdn.sofifa.org/players/4/19/183898.png,84,84,29.5,125,30,5'11,4
M. Mandžukić,https://cdn.sofifa.org/players/4/19/181783.png,84,84,25,160,32,6'3,3
Willian,https://cdn.sofifa.org/players/4/19/180403.png,84,84,30.5,175,29,5'9,3
Sergio Asenjo,https://cdn.sofifa.org/players/4/19/178750.png,84,85,24,42,29,6'2,2
E. Banega,https://cdn.sofifa.org/players/4/19/178562.png,84,84,29,31,30,5'9,3
A. Witsel,https://cdn.sofifa.org/players/4/19/177413.png,84,84,24,77,29,6'2,3
D. Payet,https://cdn.sofifa.org/players/4/19/177388.png,84,84,27.5,75,31,5'9,3
Jonas,https://cdn.sofifa.org/players/4/19/176769.png,84,84,16.5,25,34,5'11,3
Sokratis,https://cdn.sofifa.org/players/4/19/172879.png,84,84,23,140,30,6'1,3
S. Ruffier,https://cdn.sofifa.org/players/4/19/167628.png,84,84,19,41,31,6'2,3
Falcao,https://cdn.sofifa.org/players/4/19/167397.png,84,84,25,115,32,5'10,3
K. Schmeichel,https://cdn.sofifa.org/players/4/19/163587.png,84,84,19,78,31,6'2,2
Raúl Albiol,https://cdn.sofifa.org/players/4/19/157481.png,84,84,18,88,32,6'3,3
A. Gómez,https://cdn.sofifa.org/players/4/19/143076.png,84,84,30,53,30,5'5,3
A. Barzagli,https://cdn.sofifa.org/players/4/19/137186.png,84,84,4.2,95,37,6'2,3
Quaresma,https://cdn.sofifa.org/players/4/19/20775.png,84,84,15.5,80,34,5'9,3
A. Robben,https://cdn.sofifa.org/players/4/19/9014.png,84,84,15.5,110,34,5'11,4
O. Dembélé,https://cdn.sofifa.org/players/4/19/231443.png,83,92,40,155,21,5'10,3
Gabriel Jesus,https://cdn.sofifa.org/players/4/19/230666.png,83,92,41,130,21,5'9,2
Ronaldo Cabrais,https://cdn.sofifa.org/players/4/19/230481.png,83,83,28,51,26,5'10,1
Josué Chiamulera,https://cdn.sofifa.org/players/4/19/230375.png,83,83,22.5,43,26,6'1,1
Louri Beretta,https://cdn.sofifa.org/players/4/19/230294.png,83,83,28.5,60,26,6'2,1
P. Kimpembe,https://cdn.sofifa.org/players/4/19/225850.png,83,89,30.5,82,22,6'2,2
N. Keïta,https://cdn.sofifa.org/players/4/19/220971.png,83,88,34,120,23,5'8,2
C. Tolisso,https://cdn.sofifa.org/players/4/19/219683.png,83,88,34,85,23,5'11,2
T. Lemar,https://cdn.sofifa.org/players/4/19/213565.png,83,89,35.5,64,22,5'7,3
K. Coman,https://cdn.sofifa.org/players/4/19/213345.png,83,87,34,85,22,5'10,2
J. Tah,https://cdn.sofifa.org/players/4/19/213331.png,83,88,29.5,67,22,6'5,2
Anderson Talisca,https://cdn.sofifa.org/players/4/19/212523.png,83,90,36.5,18,24,6'3,2
T. Werner,https://cdn.sofifa.org/players/4/19/212188.png,83,87,34.5,70,22,5'11,3
A. Rabiot,https://cdn.sofifa.org/players/4/19/210008.png,83,87,33,91,23,6'4,2
L. Goretzka,https://cdn.sofifa.org/players/4/19/209658.png,83,88,34,85,23,6'2,3
Q. Promes,https://cdn.sofifa.org/players/4/19/208808.png,83,84,30.5,28,26,5'9,2
H. Ziyech,https://cdn.sofifa.org/players/4/19/208670.png,83,86,32.5,28,25,5'11,3
Lucas Vázquez,https://cdn.sofifa.org/players/4/19/208618.png,83,83,27,205,27,5'8,2
Y. Carrasco,https://cdn.sofifa.org/players/4/19/208418.png,83,86,33,20,24,5'11,3
Gerard Moreno,https://cdn.sofifa.org/players/4/19/208093.png,83,85,32,53,26,5'11,1
Felipe,https://cdn.sofifa.org/players/4/19/207863.png,83,83,20,22,29,6'3,3
M. Kovačić,https://cdn.sofifa.org/players/4/19/207410.png,83,89,35,165,24,5'9,3
Kepa,https://cdn.sofifa.org/players/4/19/206585.png,83,91,28.5,84,23,6'1,1
Manu Trigueros,https://cdn.sofifa.org/players/4/19/206545.png,83,84,30,49,26,5'10,2
S. Gnabry,https://cdn.sofifa.org/players/4/19/206113.png,83,88,34.5,85,22,5'9,2
J. Pickford,https://cdn.sofifa.org/players/4/19/204935.png,83,88,25,78,24,6'1,1
S. Savić,https://cdn.sofifa.org/players/4/19/204639.png,83,86,26,67,27,6'2,2
J. Stones,https://cdn.sofifa.org/players/4/19/203574.png,83,87,28.5,125,24,6'2,2
Suso,https://cdn.sofifa.org/players/4/19/202651.png,83,86,33,115,24,5'9,3
J. Draxler,https://cdn.sofifa.org/players/4/19/202166.png,83,86,32.5,91,24,6'2,3
Felipe Anderson,https://cdn.sofifa.org/players/4/19/201995.png,83,85,31.5,110,25,5'9,3
Lucas Moura,https://cdn.sofifa.org/players/4/19/200949.png,83,84,31,115,25,5'9,3
Danilo Pereira,https://cdn.sofifa.org/players/4/19/200888.png,83,86,27,21,26,6'2,3
Nacho Fernández,https://cdn.sofifa.org/players/4/19/200724.png,83,85,24.5,180,28,5'11,2
T. Horn,https://cdn.sofifa.org/players/4/19/200316.png,83,87,24,25,25,6'4,2
Allan,https://cdn.sofifa.org/players/4/19/199914.png,83,83,26.5,87,27,5'9,2
F. Acerbi,https://cdn.sofifa.org/players/4/19/199845.png,83,83,19,64,30,6'4,2
Sergi Roberto,https://cdn.sofifa.org/players/4/19/199564.png,83,86,26.5,170,26,5'10,3
Rodrigo,https://cdn.sofifa.org/players/4/19/198329.png,83,84,30.5,57,27,6'0,2
Pizzi,https://cdn.sofifa.org/players/4/19/197965.png,83,83,25.5,22,28,5'10,3
K. Kampl,https://cdn.sofifa.org/players/4/19/195365.png,83,83,26.5,74,27,5'10,2
Neto,https://cdn.sofifa.org/players/4/19/194404.png,83,84,21,41,28,6'3,2
O. Baumann,https://cdn.sofifa.org/players/4/19/193698.png,83,84,21,42,28,6'2,2
I. Gueye,https://cdn.sofifa.org/players/4/19/193474.png,83,83,21,125,28,5'9,2
H. Mkhitaryan,https://cdn.sofifa.org/players/4/19/192883.png,83,83,25.5,145,29,5'10,3
Marcos Alonso,https://cdn.sofifa.org/players/4/19/192638.png,83,84,24,130,27,6'2,2
D. Subašić,https://cdn.sofifa.org/players/4/19/192593.png,83,83,13,70,33,6'3,3
K. Glik,https://cdn.sofifa.org/players/4/19/190547.png,83,83,19,86,30,6'3,3
K. Strootman,https://cdn.sofifa.org/players/4/19/189712.png,83,83,21,66,28,6'1,3
B. Dost,https://cdn.sofifa.org/players/4/19/189068.png,83,83,26,26,29,6'5,3
Oscar,https://cdn.sofifa.org/players/4/19/188152.png,83,84,30.5,29,26,5'10,3
M. Balotelli,https://cdn.sofifa.org/players/4/19/186627.png,83,83,27.5,55,27,6'2,4
Luiz Gustavo,https://cdn.sofifa.org/players/4/19/185221.png,83,83,19,63,30,6'2,3
Giuliano,https://cdn.sofifa.org/players/4/19/184942.png,83,83,26,64,28,5'8,2
David Luiz,https://cdn.sofifa.org/players/4/19/179944.png,83,83,17.5,130,31,6'2,4
R. Fährmann,https://cdn.sofifa.org/players/4/19/179783.png,83,84,20,38,29,6'6,2
Juan Mata,https://cdn.sofifa.org/players/4/19/178088.png,83,83,24.5,160,30,5'7,3
Adán,https://cdn.sofifa.org/players/4/19/178086.png,83,83,15.5,55,31,6'3,2
Rui Patrício,https://cdn.sofifa.org/players/4/19/178005.png,83,83,16.5,74,30,6'3,3
Y. Sommer,https://cdn.sofifa.org/players/4/19/177683.png,83,84,20,35,29,6'0,3
Javi Martínez,https://cdn.sofifa.org/players/4/19/177610.png,83,83,20,94,29,6'4,3
L. Bender,https://cdn.sofifa.org/players/4/19/177457.png,83,83,20,82,29,6'1,3
Lucas Leiva,https://cdn.sofifa.org/players/4/19/176266.png,83,83,17.5,64,31,5'10,3
S. Mandanda,https://cdn.sofifa.org/players/4/19/163705.png,83,83,13,51,33,6'1,3
Cesc Fàbregas,https://cdn.sofifa.org/players/4/19/162895.png,83,83,22,140,31,5'10,4
M. Dembélé,https://cdn.sofifa.org/players/4/19/162240.png,83,83,24,120,30,6'1,3
F. Ribéry,https://cdn.sofifa.org/players/4/19/156616.png,83,83,11.5,72,35,5'7,4
R. Jarstein,https://cdn.sofifa.org/players/4/19/104389.png,83,83,13,33,33,6'3,2
D. De Rossi,https://cdn.sofifa.org/players/4/19/53302.png,83,83,8,80,34,6'0,3
Pepe Reina,https://cdn.sofifa.org/players/4/19/24630.png,83,83,6,56,35,6'2,3
J. Pavlenka,https://cdn.sofifa.org/players/4/19/236583.png,82,85,19.5,30,26,6'5,1
M. de Ligt,https://cdn.sofifa.org/players/4/19/235243.png,82,91,27,11,18,6'2,2
Rodri,https://cdn.sofifa.org/players/4/19/231866.png,82,87,29,59,22,6'3,1
Arthur,https://cdn.sofifa.org/players/4/19/230658.png,82,90,32.5,125,21,5'7,1
G. Donnarumma,https://cdn.sofifa.org/players/4/19/230621.png,82,93,29,23,19,6'5,3
Rosberto Dourado,https://cdn.sofifa.org/players/4/19/230258.png,82,82,16.5,46,30,5'9,1
Juiano Mestres,https://cdn.sofifa.org/players/4/19/230225.png,82,82,6.5,39,34,5'11,1
Raphaelito Anjos,https://cdn.sofifa.org/players/4/19/230168.png,82,82,14,32,30,6'3,1
Gelson Martins,https://cdn.sofifa.org/players/4/19/227055.png,82,87,29.5,59,23,5'8,3
Gonçalo Guedes,https://cdn.sofifa.org/players/4/19/224411.png,82,86,29,36,21,5'10,1
L. Torreira,https://cdn.sofifa.org/players/4/19/223959.png,82,87,25,98,22,5'6,2
Malcom,https://cdn.sofifa.org/players/4/19/222737.png,82,89,31.5,140,21,5'8,2
Pau López,https://cdn.sofifa.org/players/4/19/221087.png,82,87,21.5,21,23,6'2,1
L. Hernández,https://cdn.sofifa.org/players/4/19/220814.png,82,88,25.5,53,22,6'0,1
C. Lenglet,https://cdn.sofifa.org/players/4/19/220440.png,82,88,26,135,23,6'1,1
A. Kramarić,https://cdn.sofifa.org/players/4/19/216354.png,82,83,26,54,27,5'10,2
A. Robertson,https://cdn.sofifa.org/players/4/19/216267.png,82,87,24.5,98,24,5'10,1
Dani García,https://cdn.sofifa.org/players/4/19/216194.png,82,83,20,33,28,5'11,2
F. Bernardeschi,https://cdn.sofifa.org/players/4/19/212404.png,82,87,29.5,110,24,6'1,2
J. Brandt,https://cdn.sofifa.org/players/4/19/212194.png,82,88,30.5,68,22,6'1,2
D. Rugani,https://cdn.sofifa.org/players/4/19/211320.png,82,86,24.5,95,23,6'3,2
Samu Castillejo,https://cdn.sofifa.org/players/4/19/210617.png,82,86,29,94,23,6'0,2
João Cancelo,https://cdn.sofifa.org/players/4/19/210514.png,82,88,25.5,95,24,6'0,2
A. Romagnoli,https://cdn.sofifa.org/players/4/19/210413.png,82,89,26.5,84,23,6'2,2
T. Partey,https://cdn.sofifa.org/players/4/19/209989.png,82,88,25.5,59,25,6'1,1
Fred,https://cdn.sofifa.org/players/4/19/209297.png,82,84,26.5,140,25,5'7,1
J. Vardy,https://cdn.sofifa.org/players/4/19/208830.png,82,82,20,96,31,5'10,3
A. Belotti,https://cdn.sofifa.org/players/4/19/208596.png,82,87,30,58,24,5'11,3
E. Forsberg,https://cdn.sofifa.org/players/4/19/208448.png,82,83,26,67,26,5'10,2
J. Lingard,https://cdn.sofifa.org/players/4/19/207494.png,82,83,26.5,140,25,5'9,2
F. Vázquez,https://cdn.sofifa.org/players/4/19/207471.png,82,82,21.5,27,29,6'1,2
E. Višća,https://cdn.sofifa.org/players/4/19/205678.png,82,82,22.5,40,28,5'8,2
A. Rüdiger,https://cdn.sofifa.org/players/4/19/205452.png,82,84,22.5,110,25,6'3,2
A. Florenzi,https://cdn.sofifa.org/players/4/19/203551.png,82,83,20.5,73,27,5'8,3
H. Maguire,https://cdn.sofifa.org/players/4/19/203263.png,82,85,23.5,77,25,6'4,1
T. Meunier,https://cdn.sofifa.org/players/4/19/202371.png,82,83,21,87,26,6'3,2
S. Sané,https://cdn.sofifa.org/players/4/19/201956.png,82,82,18.5,41,27,6'5,2
G. Kondogbia,https://cdn.sofifa.org/players/4/19/201455.png,82,85,27.5,46,25,6'2,2
Rafinha,https://cdn.sofifa.org/players/4/19/201400.png,82,87,29.5,165,25,5'9,2
Gabriel Paulista,https://cdn.sofifa.org/players/4/19/201305.png,82,83,21,44,27,6'2,2
Morata,https://cdn.sofifa.org/players/4/19/201153.png,82,85,28.5,135,25,6'2,3
J. Cillessen,https://cdn.sofifa.org/players/4/19/199987.png,82,84,18,135,29,6'1,3
W. Ben Yedder,https://cdn.sofifa.org/players/4/19/199451.png,82,82,23.5,28,27,5'7,2
C. Bakambu,https://cdn.sofifa.org/players/4/19/198951.png,82,83,26,33,27,6'0,2
Pablo Sarabia,https://cdn.sofifa.org/players/4/19/198950.png,82,83,26,26,26,5'9,2
W. Zaha,https://cdn.sofifa.org/players/4/19/198717.png,82,85,28.5,78,25,5'11,2
Luis Alberto,https://cdn.sofifa.org/players/4/19/198706.png,82,85,28.5,67,25,6'0,2
Jonathan Viera,https://cdn.sofifa.org/players/4/19/198164.png,82,82,22.5,31,28,5'7,2
Bartra,https://cdn.sofifa.org/players/4/19/198141.png,82,83,21,32,27,6'0,3
S. Coates,https://cdn.sofifa.org/players/4/19/197655.png,82,83,21,19,27,6'5,3
Willian José,https://cdn.sofifa.org/players/4/19/195093.png,82,83,26.5,44,26,6'2,2
Mário Fernandes,https://cdn.sofifa.org/players/4/19/193525.png,82,82,18.5,1,27,6'2,2
Víctor Ruiz,https://cdn.sofifa.org/players/4/19/193469.png,82,83,19.5,43,29,6'1,2
T. Delaney,https://cdn.sofifa.org/players/4/19/193283.png,82,83,21.5,61,26,6'0,2
K. Casteels,https://cdn.sofifa.org/players/4/19/192984.png,82,85,19.5,46,26,6'6,2
M. Götze,https://cdn.sofifa.org/players/4/19/192318.png,82,85,27,67,26,5'9,4
S. Mustafi,https://cdn.sofifa.org/players/4/19/192227.png,82,84,22.5,115,26,6'0,3
J. Pastore,https://cdn.sofifa.org/players/4/19/191180.png,82,82,21.5,84,29,6'2,3
Pedro,https://cdn.sofifa.org/players/4/19/189505.png,82,82,21,140,30,5'7,3
G. Bonaventura,https://cdn.sofifa.org/players/4/19/189125.png,82,82,22,115,28,5'11,3
R. Bürki,https://cdn.sofifa.org/players/4/19/189117.png,82,85,18.5,50,27,6'2,3
Taison,https://cdn.sofifa.org/players/4/19/188803.png,82,82,21,1,30,5'8,2
S. Nzonzi,https://cdn.sofifa.org/players/4/19/187936.png,82,82,17,77,29,6'5,2
Marlos,https://cdn.sofifa.org/players/4/19/187754.png,82,82,21,1,30,5'9,2
